MonYear;Primary goods;Capital goods;Intermediate goods;Infrastructure/ construction goods;Consumer durables;Consumer non-durables
Sep.15;107.4;107.0;119.0;114.7;122.8;109.9
Oct.15;113.3;98.9;116.8;116.2;128.8;115.6
Nov.15;110.9;93.7;111.4;109.4;110.8;116.7
Dec.15;114.8;103.7;119.4;119.2;123.0;131.6
Jan.16;117.5;99.4;120.0;125.4;119.1;126.4
Feb.16;114.3;104.4;118.0;125.0;121.0;123.6
Mar.16;125.2;123.1;130.1;134.1;129.0;125.9
Apr.16;113.1;93.4;115.4;119.6;120.6;113.5
May.16;117.6;101.3;122.5;130.9;124.3;128.4
Jun.16;116.7;106.3;121.5;128.9;121.9;122.3
Jul.16;113.2;97.6;123.2;119.5;119.9;123.3
Aug.16;110.0;94.8;123.6;124.9;122.8;122.6
Sep.16;109.8;99.0;121.2;124.7;135.4;123.9
Oct.16;119.2;94.3;122.3;124.8;130.7;122.1
Nov.16;117.0;98.7;117.7;113.7;118.3;120.5
Dec.16;123.3;97.3;121.9;125.8;116.8;131.3
Jan.17;122.0;98.8;123.9;128.7;116.7;138.5
Feb.17;115.2;101.9;120.7;122.6;115.4;136.5
Mar.17;132.5;134.7;134.1;135.6;128.2;135.4
Apr.17;116.5;88.9;119.6;125.2;119.7;123.5
May.17;122.0;99.7;123.3;130.8;125.1;140.9
Jun.17;116.4;99.8;120.0;130.2;117.6;128.2
Jul.17;115.7;96.5;119.8;124.6;117.0;128.3
Aug.17;117.8;101.7;123.0;128.3;128.1;131.4
Sep.17;117.0;107.6;123.8;125.3;129.9;136.9
Oct.17;122.1;97.6;122.6;132.0;119.0;132.1
Nov.17;120.9;104.3;125.4;129.3;122.0;149.1
Dec.17;128.0;110.1;131.0;134.0;119.3;153.4
Jan.18;129.2;111.1;130.6;138.3;125.6;153.3
Feb.18;119.5;118.8;124.8;138.5;124.0;146.6
Mar.18;136.5;130.5;137.4;147.9;136.1;154.5
Apr.18;119.7;97.6;120.1;135.9;124.4;132.8
May.18;129.0;106.1;123.4;140.8;133.5;138.6
Jun.18;127.1;109.5;121.8;142.4;133.6;128.5
Jul.18;123.6;98.7;121.4;136.1;133.5;135.1
Aug.18;120.7;112.2;126.6;138.6;135.1;140.0
Sep.18;120.0;115.0;125.6;137.2;136.9;145.6
Oct.18;129.5;114.1;125.5;143.9;139.7;143.4
Nov.18;124.8;100.0;120.2;135.5;118.3;148.6
Dec.18;126.6;114.7;129.9;146.1;124.2;163.4
Jan.19;131.0;107.1;127.0;147.2;128.7;159.2
Feb.19;121.1;107.7;118.5;141.1;125.1;153.9
Mar.19;140.0;118.6;154.4;155.4;131.7;156.6
Apr.19;125.8;96.2;123.7;135.0;127.1;140.0
May.19;131.9;103.9;138.8;145.0;133.8;149.8
Jun.19;127.8;101.9;136.5;140.6;120.0;138.0
Jul.19;128.1;91.8;140.4;140.1;130.3;146.6
Aug.19;121.9;88.7;135.9;130.7;122.0;144.4
Sep.19;113.8;91.4;134.1;127.6;122.5;144.0
Oct.19;121.7;88.5;136.4;129.9;113.3;138.6
Nov.19;124.5;91.1;140.9;134.5;116.7;150.2
Dec.19;129.6;93.7;146.9;146.4;117.3;158.1
Jan.20;133.4;102.4;146.8;146.7;124.0;158.3
Feb.20;131.0;97.4;145.8;145.0;117.3;153.4
Mar.20;134.4;72.6;125.7;117.6;83.2;121.7
Apr.20;92.4;7.0;44.6;20.3;5.5;72.7
May.20;106.0;35.4;83.7;88.4;39.7;135.3
Jun.20;109.3;63.8;108.2;114.9;78.2;147.5
Jul.20;114.3;70.9;125.4;128.6;99.4;149.3
Aug.20;108.8;75.9;129.4;130.7;109.5;140.0
Sep.20;112.1;90.3;133.6;132.7;129.0;147.4
Oct.20;117.8;91.6;139.2;142.8;133.7;148.5
Nov.20;121.6;84.4;137.3;136.8;112.7;148.2
Dec.20;129.2;94.3;147.5;147.7;123.0;161.2
